417568,443562,215,351,416778,49503,214,412914,441480,454581,432213,439710,3255,430140,29,457589,417413,3204,215,3240,390,24,210,215,215
421056,443562,215,351,417910,49503,24,44865,421591,442148,447943,422100,332,464055,24,457589,435326,370,23,3250,3117,211,25,211,212
45884,430988,215,351,417910,433551,20,412914,457582,461007,421973,411326,3197,464377,215,4887,442282,315,215,3240,318,22,215,27,210
417568,449034,215,3114,431071,433551,20,412914,460685,460932,421973,440760,3197,464377,215,424662,463292,347,20,3240,3245,215,20,27,215
417568,443562,215,351,416778,415567,214,412914,441480,43874,432213,439710,3255,430140,29,457589,417413,3204,20,3240,390,214,210,20,215
448052,443562,215,3119,444999,43839,214,455,461015,454581,436831,465365,3220,463431,23,441710,414719,3177,215,3240,3240,213,213,25,213
448052,443562,215,35,47125,463481,214,412914,453093,43874,436831,419569,317,43374,215,441710,457973,355,215,3240,391,21,20,25,20
431024,454410,215,351,417910,49503,212,412914,457582,456817,41278,440760,3197,444835,215,432522,420216,3117,215,3240,3117,27,210,212,20
45884,430988,215,351,417910,433551,212,412914,460149,413040,421973,44734,3197,465395,21,426631,464195,315,215,3240,318,20,27,27,20
417568,44654,215,351,424929,433551,20,418955,418247,463731,421973,431864,3197,444426,215,437111,442282,315,215,30,318,215,215,20,215
420479,447642,210,351,463255,451165,210,455,4259,458948,417418,45017,331,421847,21,432522,458304,3168,23,395,385,212,27,211,215
433536,448942,215,351,417910,433551,212,412914,449661,413040,421973,440760,3178,464377,21,412020,465135,315,215,3240,3243,22,212,212,20
417568,447642,215,351,41800,49503,20,412914,457582,420071,421973,41023,3102,464377,215,426631,410756,315,215,3240,3245,27,20,215,215
